mode_label,stop_id,stop_calls
bus,12855,1330
bus,12852,1330
bus,12879,1118
bus,14014,1302
bus,13873,1102
bus,13158,1487
bus,13156,1487
bus,13218,1299
bus,13907,1299
bus,13048,851
bus,12931,851
bus,13955,1131
bus,12834,1571
bus,45039,4921
bus,13679,5461
bus,13129,4630
bus,13652,3326
bus,13033,4589
bus,13562,1933
bus,13554,2799
bus,47438,2837
bus,51528,1979
bus,13306,1657
bus,13689,1739
bus,13684,1838
bus,13669,1695
bus,13658,2434
bus,13561,3516
bus,13582,4547
bus,13575,5588
bus,12998,1639
bus,13186,903
bus,13004,1064
bus,14475,1093
bus,13637,1096
bus,13070,1074
bus,13639,1705
bus,13133,1970
bus,13862,1336
bus,13866,468
bus,14545,807
bus,13902,718
bus,13002,1556
bus,12906,1556
bus,13180,2030
bus,13868,455
bus,13867,455
bus,13863,1320
bus,13817,1029
bus,12829,2427
bus,12886,1644
bus,13788,658
bus,13787,2099
bus,13630,595
bus,13638,1141
bus,13166,1141
bus,13071,1036
bus,13580,2607
bus,13591,1441
bus,13581,3817
bus,13688,1856
bus,41020,1296
bus,39302,846
bus,41017,729
bus,16785,852
bus,14047,1918
bus,13152,1522
bus,13038,3478
bus,13039,2071
bus,13040,4154
bus,13973,288
bus,12938,938
bus,13487,3166
bus,50609,859
bus,13657,589
bus,29635,589
bus,13677,416
bus,13707,1064
bus,13710,1453
bus,12833,1419
bus,13917,1307
bus,13922,1307
bus,13928,1307
bus,13932,883
bus,13363,1234
bus,29418,905
bus,13972,523
bus,13975,944
bus,29428,1366
bus,13250,4567
bus,13345,2721
bus,14043,2710
bus,14356,3122
bus,14343,2010
bus,29345,2145
bus,14025,1752
bus,14030,1752
bus,14031,2283
bus,14125,2382
bus,13052,3641
bus,14104,4023
bus,14101,2249
bus,49210,4011
bus,49212,1970
bus,13042,2455
bus,14335,345
bus,13502,345
bus,43272,556
bus,43312,778
bus,43274,2755
bus,43284,2673
bus,14535,2313
bus,43291,2313
bus,43294,3343
bus,48644,3115
bus,13372,2937
bus,29623,3474
bus,24021,3875
bus,25358,1241
bus,24007,785
bus,24005,2110
bus,23998,3538
bus,23994,2969
bus,24000,1721
bus,24002,599
bus,23945,859
bus,23938,859
bus,23931,2449
bus,23908,3376
bus,23923,3376
bus,23917,3590
bus,9700,2873
bus,9658,2509
bus,9749,2499
bus,10004,3863
bus,9699,3853
bus,9659,3863
bus,11899,3824
bus,40021,1554
bus,10286,1566
bus,8405,2711
bus,9529,2702
bus,11585,2711
bus,11573,2686
bus,10315,2720
bus,10654,2702
bus,10316,2720
bus,10317,2720
bus,10655,2720
bus,10318,2720
bus,11449,1955
bus,43337,68
bus,10169,301
bus,10170,754
bus,11811,1066
bus,10593,877
bus,11905,98
bus,34275,98
bus,11820,98
bus,46635,613
bus,9664,1362
bus,9744,1234
bus,8963,1710
bus,11822,1423
bus,10449,2249
bus,8975,1826
bus,8976,1299
bus,8977,2722
bus,8730,2572
bus,10394,2572
bus,11266,2822
bus,11270,2803
bus,9618,1878
bus,9910,1387
bus,8768,1801
bus,8972,1801
bus,8973,1809
bus,11600,1400
bus,8964,1693
bus,9743,1356
bus,10015,1353
bus,51666,98
bus,11819,98
