from_stop,to_stop,trip_frequency
12823,14549,555
3971,2052,555
50485,14607,554
10168,11576,554
21520,24141,554
13703,13739,554
24156,24154,553
15844,90,553
41050,41049,553
13744,13747,553
7543,7558,553
29383,29378,553
7558,7545,553
49946,13091,552
9603,9402,552
14100,14349,552
1989,3353,552
250,35170,552
16091,16092,552
36798,10004,552
16418,16183,552
48932,11448,552
13743,13744,551
308,319,551
14125,13052,551
11793,10588,551
10123,10124,550
10136,9586,550
11742,10123,550
5618,5619,550
21317,24734,550
24141,24135,550
9377,9381,550
9373,9377,550
2085,1271,549
42546,324,549
10747,11878,549
7647,7648,549
9848,9844,548
10722,11574,548
10735,8952,548
9388,9683,548
13540,13483,548
12865,12851,548
3911,1448,547
9456,9388,547
2047,2028,547
13088,13087,547
23376,15594,547
7577,7578,547
44960,8703,547
3816,36098,546
2054,2055,546
12851,13742,546
9633,10460,546
9430,9431,546
5617,5618,546
35456,35829,546
1109,1097,546
16850,23193,546
1854,1855,545
8862,10844,545
15612,15613,545
10237,10746,545
13710,12833,545
42300,48481,545
44264,44266,545
35829,35460,544
13367,13365,544
13473,13476,544
16090,16091,544
35458,35457,544
8818,8819,544
7576,7577,544
35459,35458,544
13627,12999,543
21588,21589,543
13067,13751,543
15611,15612,543
2055,1852,543
48933,10532,543
2056,3074,543
3074,2057,543
2057,2071,543
7575,7576,542
24086,24158,542
47451,11880,542
12978,13773,542
11234,11734,542
16089,16090,542
9990,9892,541
29353,29354,541
10002,10700,541
9727,9590,541
5085,18370,541
1424,1449,541
1417,1424,541
24101,24104,540
16180,16277,540
25134,50260,540
7392,47952,540
13178,14595,540
47952,7393,540
9892,9986,540
12830,12885,540
550,549,540
16277,16182,540
13163,13422,539
15868,15855,539
15855,15845,539
9385,9584,539
3828,2604,539
14020,14022,539
11576,10121,539
14026,14343,539
11616,10035,538
13449,13473,538
10035,10002,538
14019,14020,538
14015,14019,538
8969,8768,538
16215,16214,538
50932,11742,538
554,550,538
8960,9433,538
9636,10165,537
40150,26873,537
49559,4598,537
13574,13581,537
3731,2578,536
320,309,536
1447,1432,536
1432,1422,536
1858,1854,536
21800,7619,536
825,23357,536
25712,50730,536
10457,11612,536
19468,4706,536
7502,7503,535
2803,3486,535
7500,7502,535
7499,7500,535
7653,7499,535
16036,15683,535
11446,10238,534
10225,8797,534
48701,15405,534
13238,12903,534
15464,48701,534
13058,13059,534
10643,10733,534
1853,2056,534
1855,1853,534
25083,15464,534
12831,12818,533
14332,13252,533
14207,14202,533
23316,23257,533
22260,22261,533
15631,15858,533
7537,7498,533
7343,7344,533
7648,7537,533
40637,13088,533
9849,9850,533
41603,27361,533
9836,9843,533
9843,9849,533
13016,13157,532
13040,29432,532
40899,42777,532
13906,13016,532
40021,10286,531
24239,24250,531
15700,24143,531
24136,15700,531
10286,8405,531
24177,21821,530
38642,22966,530
9850,9851,530
9851,9848,530
10353,11496,529
9492,10703,529
33943,90,529
16278,16181,529
35460,47854,529
48360,9492,529
48719,14094,529
24396,24397,529
14092,48719,529
43698,36980,529
51553,35302,528
41161,41162,528
2966,2080,528
25073,23256,528
8639,37785,528
11610,8639,528
16824,25107,528
48900,48917,527
48917,48915,527
13038,29352,527
24397,745,527
13157,13002,526
9674,11507,526
3308,3032,526
12898,13361,526
2855,3308,526
5707,5708,526
13591,13581,526
47855,35459,526
14653,381,526
11637,49784,526
23952,24450,525
11899,40021,525
9954,8718,525
16189,16190,525
10173,46254,525
16190,23217,525
13329,12990,525
3959,3731,525
48438,49236,525
3032,2054,524
42860,14338,524
1849,3521,523
11573,10315,523
43278,13448,523
48915,48903,523
13849,13845,522
7580,34699,522
21872,13429,522
9409,9562,522
25086,15473,522
12838,12815,522
9562,9523,522
13845,13802,522
7484,7487,521
9000,9001,521
9001,9002,521
13843,13954,521
11727,9914,521
48664,9547,521
15697,16419,521
13469,43278,521
2040,2042,521
26673,25739,520
15406,25086,520
7512,7651,520
2256,2253,520
4665,4815,520
2253,2254,520
11928,9503,520
2093,3507,520
2438,2439,520
13917,13922,519
49901,49877,519
16282,16283,519
26799,28242,519
28241,26799,519
12771,28241,519
7569,7570,519
42558,10972,519
2042,2043,519
2043,2438,519
2439,2882,519
43372,28671,519
25275,25274,518
7538,7511,518
34699,7581,518
50491,15224,518
14047,13152,518
13419,33841,518
35586,36928,518
33841,13413,518
8755,8756,518
4565,4668,518
10777,10845,518
9002,9003,517
14093,48564,517
24088,24091,517
36931,7314,517
7315,36931,517
8496,7315,517
24251,24240,517
44962,45042,517
46717,47094,517
47016,46976,517
12854,13260,517
13601,29310,516
8684,8832,516
24160,24151,516
13580,13591,516
1223,1231,516
11878,47451,516
48564,14091,516
10972,10979,516
37528,13917,516
2017,2018,516
47843,23363,515
13928,13843,515
13922,13928,515
13412,13418,515
9903,9694,515
9483,9481,515
1928,1929,515
24072,24061,514
18110,19471,514
9007,9008,514
9006,9007,514
13420,43756,514
24400,24398,514
3233,3526,514
14018,14017,514
14022,14018,514
18429,21195,513
42126,7550,513
7555,7571,513
13418,13420,513
7571,34677,513
15858,24757,513
