fare_id,route_id,origin_id,destination_id,contains_id
202,,54138,43113,
201,,21711,38118,
201,,35261,34235,
201,,53704,55243,
202,,22273,35078,
202,,32030,31385,
202,,52129,43715,
201,,34069,38522,
201,,36159,25206,
201,,54483,58294,
201,,63219,2251,
201,,65343,63500,
202,,21303,32591,
202,,30002,13761,
202,,41714,54246,
202,,57001,55503,
201,,5458,1653,
201,,34696,34280,
201,,33616,33281,
201,,58609,51276,
201,,54041,51259,
202,,140,60280,
201,,59683,54052,
202,,1786,5389,
204,,60354,11571,
201,,20200,26484,
201,,46177,40404,
201,,51553,54194,
201,,47837,43393,
201,,52952,54424,
201,,34261,39570,
201,,39273,39233,
202,,20353,34129,
202,,53388,53030,
204,,15457,62,
204,,61349,18387,
201,,13426,10509,
201,,34532,30357,
202,,12430,16476,
202,,190,60204,
202,,15599,16263,
202,,16043,10909,
202,,43121,52351,
202,,38765,31718,
202,,58002,51276,
204,,11544,35573,
201,,15528,18441,
201,,20217,20378,
201,,35564,35253,
201,,35735,37074,
201,,34288,33602,
202,,16036,11601,
202,,53129,57807,
202,,61466,61494,
204,,15374,31094,
201,,1697,1462,
201,,40975,47087,
201,,40529,53465,
201,,52976,51572,
202,,11011,31724,
202,,27117,33152,
202,,33201,21615,
202,,63458,1662,
202,,60028,61312,
204,,19757,10649,
201,,32148,37721,
201,,63111,39660,
202,,5523,31283,
202,,65384,20082,
204,,21613,47841,
205,,21256,13895,
201,,15580,13419,
201,,34276,36628,
201,,55106,54146,
202,,57057,52247,
204,,16355,12515,
205,,10302,38505,
201,,30173,38128,
201,,52331,59206,
202,,60358,190,
204,,16021,14420,
201,,16505,12546,
201,,39690,31956,
201,,50158,59303,
201,,54177,51120,
202,,9810,60223,
202,,19692,16060,
202,,53583,54156,
204,,5334,21669,
224,,10653,10820,
201,,123,388,
201,,33191,34040,
201,,36098,39789,
201,,52838,59875,
204,,12289,60060,
201,,5393,577,
201,,25840,37061,
202,,53982,54210,
204,,16158,10003,
201,,25818,21571,
201,,60237,60250,
202,,30271,26966,
202,,33599,31095,
202,,60376,193,
201,,31342,25809,
201,,37273,32810,
201,,43353,47175,
201,,51549,59466,
201,,51628,50615,
201,,56373,56933,
201,,56711,55065,
202,,1365,5201,
202,,5389,15219,
204,,20145,50699,
204,,60706,20150,
201,,37030,31411,
201,,39681,39177,
201,,54088,50905,
202,,1134,278,
202,,57143,54138,
201,,30254,39177,
201,,32135,19987,
201,,37044,26703,
202,,54653,51468,
202,,47836,20142,
205,,51068,11358,
201,,1325,13486,
201,,32603,32689,
201,,36032,36319,
201,,56676,59734,
202,,312,60164,
202,,130,60314,
202,,15564,15381,
202,,30341,39661,
202,,54054,52485,
201,,14838,14349,
201,,16009,19379,
201,,21221,37996,
201,,34545,39850,
201,,57583,50842,
201,,56219,57929,
202,,16424,13627,
202,,53485,57073,
202,,60086,12442,
204,,40322,65387,
201,,12627,10744,
201,,13107,13992,
201,,20506,22028,
201,,63567,63552,
202,,10141,60125,
202,,51616,46096,
201,,20699,36169,
201,,21616,22942,
201,,25387,25890,
201,,52717,51550,
201,,61279,6198,
201,,59807,51600,
201,,15462,15528,
201,,26899,20307,
201,,32266,32602,
201,,54212,50592,
202,,11571,31850,
202,,34253,26763,
201,,37056,26900,
201,,41609,57527,
201,,51745,52908,
202,,635,5594,
204,,26525,59990,
201,,12954,10414,
201,,43546,43448,
201,,63207,63302,
202,,1447,38776,
202,,21221,2256,
202,,52795,53657,
205,,51079,60279,
201,,40496,43513,
201,,36430,36676,
202,,169,60095,
202,,31642,63639,
202,,52461,57066,
201,,31688,35815,
201,,33486,32153,
201,,32313,33326,
201,,57023,51042,
202,,5523,32361,
202,,12654,14377,
202,,34310,60299,
202,,31283,11270,
202,,36074,21150,
202,,50661,53712,
204,,12116,38563,
204,,18329,1356,
202,,40381,42657,
202,,63227,34029,
204,,26946,547,
201,,20196,37035,
201,,30834,33328,
201,,33955,60763,
202,,31280,37604,
202,,53745,59127,
202,,61414,119,
201,,3523,60221,
201,,20754,36053,
201,,40458,47198,
202,,32155,12024,
204,,26402,13410,
205,,20050,53496,
201,,12900,10886,
201,,63566,60684,
201,,61215,60860,
204,,14926,11362,
201,,38765,36751,
201,,46144,40281,
201,,51818,59981,
201,,61282,1678,
202,,30858,60233,
202,,31813,35677,
202,,40668,30176,
201,,31781,35455,
201,,40760,47137,
201,,52729,51718,
201,,53410,53415,
202,,3857,5389,
202,,41540,50363,
202,,55340,52111,
204,,35585,13439,
201,,41689,41063,
202,,54177,43024,
202,,59463,43008,
201,,13949,13972,
201,,31546,31125,
201,,35846,24068,
201,,40722,30768,
202,,1944,60370,
202,,27149,35740,
202,,32022,63442,
202,,46098,37570,
202,,51694,55214,
201,,30386,30357,
201,,31910,38491,
201,,39835,31925,
201,,53237,51718,
201,,59122,59097,
202,,12172,21609,
202,,19290,16123,
202,,35378,36472,
204,,52947,52152,
201,,10313,14173,
201,,15260,14917,
201,,53394,53466,
201,,53560,43715,
202,,5130,65136,
202,,50107,41607,
201,,33707,35682,
204,,10644,15400,
225,,11615,10306,
201,,21626,20699,
201,,52358,43083,
201,,52523,51657,
201,,60152,3621,
202,,22028,33471,
204,,40757,22974,
201,,63329,63238,
202,,59009,51636,
201,,18397,15333,
201,,60102,480,
202,,47010,46150,
202,,61417,35537,
204,,58005,53369,
201,,580,1992,
201,,15681,18476,
