stop_id,stop_name,lat,lon,degree,weighted_degree,mode_label,route_type,exact_betweenness,stop_calls,n_routes,is_articulation_point,component_id,region,metro
11119,מחלף מסילת ציון,31.798378,35.014456,2,48,demand/other bus,715,0.048914,24,2,False,0,Jerusalem,Jerusalem
10817,בית העם,31.672539,34.942581,4,86,demand/other bus,715,0.047955,43,2,False,0,Center,Periphery
10854,מסעף אביעזר,31.681907,35.003086,2,52,demand/other bus,715,0.047893,26,1,False,0,Center,Periphery
35683,כביש 3855/הירקון,31.707114,35.007316,3,98,demand/other bus,715,0.047545,49,2,False,0,Jerusalem,Periphery
11065,כביש 3855/הרצוג,31.739217,35.002554,3,98,demand/other bus,715,0.047404,49,2,False,0,Jerusalem,Periphery
35682,כביש 3855/כביש 375,31.696722,35.010889,2,98,demand/other bus,715,0.047255,49,2,False,0,Center,Periphery
10857,צומת רוגלית,31.675679,35.005911,2,52,demand/other bus,715,0.04712,26,1,False,0,Center,Periphery
10826,מסעף זכריה,31.707138,34.949128,2,48,demand/other bus,715,0.047075,24,2,False,0,Center,Periphery
10895,מחלף בית שמש,31.720864,34.964656,2,48,demand/other bus,715,0.047002,24,2,False,0,Jerusalem,Periphery
10813,מסעף ליאון שריגים,31.675212,34.932454,2,48,demand/other bus,715,0.041739,24,2,False,0,Center,Periphery
10800,מסעף עגור,31.694212,34.913228,2,48,demand/other bus,715,0.041739,24,2,False,0,Center,Periphery
41249,כפר מנחם/הרחבה,31.728689,34.831147,3,244,demand/other bus,715,0.041725,122,2,False,0,Center,Periphery
28661,כפר מנחם קיבוץ/סילו,31.732289,34.836952,3,244,demand/other bus,715,0.041725,122,2,False,0,Center,Periphery
10860,אביעזר/מרכז ג,31.681865,35.011988,3,106,demand/other bus,715,0.040997,53,2,False,0,Center,Periphery
11250,קוצין/קרלה,31.803199,35.010906,3,45,demand/other bus,715,0.03927,32,3,False,0,Jerusalem,Jerusalem
10809,דואר,31.660138,34.944856,3,86,demand/other bus,715,0.032677,43,2,True,0,Center,Periphery
10803,עגור מרכז א,31.697064,34.914372,3,96,demand/other bus,715,0.032503,48,4,True,0,Center,Periphery
10802,עגור/מרכז ד,31.697358,34.911424,3,96,demand/other bus,715,0.032503,48,4,True,0,Center,Periphery
42617,ת. רכבת מלאכי יואב/הורדה,31.746204,34.821985,2,122,demand/other bus,715,0.031631,122,2,False,0,Center,Periphery
42623,ת. רכבת מלאכי יואב/איסוף,31.746571,34.821871,2,122,demand/other bus,715,0.031631,122,2,False,0,Center,Periphery
