stop_id,stop_name,region,bt_traveltime,bt_hop_control,rank_traveltime,rank_hop_control,rank_shift_vs_control,rank_shift_vs_nb04,abs_shift
36771,כביש 3855/שדרות יגאל אלון,Jerusalem,0.03457945164678392,0.01761836220681672,58,69,11,25,11
4219,צומת פוריה,North,0.03315488483914499,0.01897091449006504,69,59,-10,-30,10
14348,מחלף גהה/דרך ז'בוטינסקי,Center,0.05667832791618095,0.0275115010009103,15,25,10,6,10
748,מחלף קסם,Center,0.05538795144686005,0.045694502432505904,17,7,-10,-9,10
41133,מחלף חמד,Jerusalem,0.06402094307242032,0.08790435547733116,11,2,-9,-9,9
3021,צומת פוריידיס,North,0.017580074726642532,0.009942740281298629,213,204,-9,-65,9
3956,מחלף יגור,North,0.024579060199392953,0.013128510660374538,118,125,7,-45,7
8750,אצטדיון טדי/א''ס ביתר,Jerusalem,0.01897050953543161,0.010396749510646088,187,182,-5,-136,5
12408,פרץ סנטר /כביש 25,South,0.012073066887255051,0.006554514598116763,376,372,-4,172,4
13274,מחלף גבעת שמואל/כביש 4,Center,0.061369943846982904,0.03425639921419722,12,16,4,5,4
41132,מחלף חמד,Jerusalem,0.07359280234412748,0.06986092358257666,7,4,-3,-2,3
27689,מחלף קמה לצפון,South,0.13345308417601884,0.07984202306306616,1,3,2,2,2
16491,מחלף קסם,Center,0.04706135673319419,0.027611572624497878,23,24,1,-5,1
