from_stop,to_stop,from_name,to_name,trip_frequency
48425,48426,עין אבראהים א,עין אבראהים ב,157
26122,47943,בית רסקו/יצחק רגר,ת.מרכזית באר שבע/רציפים בינעירוני,157
22804,48173,ישראל גלילי/הסחלב,ת. מרכזית ראשל''צ/רציפים,156
8881,44578,בי''ס ראשידה/סולטאן סולימאן,מסוף סולטאן סולימאן,152
22252,41679,קניון עזריאלי,ת. מרכזית מודיעין מכבים רעות,151
13246,37662,בית ספר הולץ/חיל השריון,ת.מרכזית תל אביב קומה 6/רציפים,150
13246,37661,בית ספר הולץ/חיל השריון,ת.מרכזית תל אביב קומה 6/רציפים,149
24763,36168,צומת חולון,ת.מרכזית תל אביב קומה 6/רציפים,148
34659,34503,אוניברסיטת אריאל/רמת הגולן,אוניברסיטת אריאל/כביש 31,144
34498,34500,רמת הגולן/הגלבוע,מעונות סטודנטים/רמת הגולן,144
34500,34659,מעונות סטודנטים/רמת הגולן,אוניברסיטת אריאל/רמת הגולן,144
34492,34498,רמת הגולן/אדום,רמת הגולן/הגלבוע,144
15604,52030,החרושת/מעלה המגדל,מסוף אור יהודה,144
41937,50037,מסוף בית שאן/איסוף,בית עלמין בית שאן/כביש 90,142
13356,36292,דרך קיבוץ גלויות/כביש 1,ת.מרכזית תל אביב קומה 6/רציפים,141
51113,51112,משה לוי/יעקב דורי,משה לוי/חיים לסקוב,140
21354,51113,הזית/קרן היסוד,משה לוי/יעקב דורי,140
750,50690,צומת רכבת ראש העין צפון,תחנת רכבת ראש העין צפון/רציפים,140
750,50694,צומת רכבת ראש העין צפון,תחנת רכבת ראש העין צפון/רציפים,140
42908,50542,דרך ארץ/אשל,מסוף חריש/איסוף,139
3149,17465,השיטה/מגרשי טניס,השיטה/בית ספר רמות יצחק,138
22804,48138,ישראל גלילי/הסחלב,ת. מרכזית ראשל''צ/רציפים,138
50692,750,תחנת רכבת ראש העין צפון/רציפים,צומת רכבת ראש העין צפון,138
48988,48975,א-שאע'ור/עין ח'אלד,א-שאע'ור,137
48994,48954,עין ח'אלד ,עין ח'אלד מערב,137
43962,48994,עין ח'אלד/עין אל מג'ארה,עין ח'אלד ,137
35879,48975,מרפאה/מחג'נה,א-שאע'ור,137
28638,48949,משה סנה,רכבת/מסוף ביג - רציפים,136
16061,48134,השוק העירוני/לבקוביץ',ת. מרכזית רחובות/רציפים,134
28638,48065,משה סנה,ת. רכבת אשדוד עד הלום/איסוף,132
27493,27496,שד. ישראל פולק/כסלו,פולק/טבת,132
20963,41683,כיכר אל-משארף/ספוריה,שכונת בלאל,132
6554,6555,מועצה מקומית,נחף דואר,131
6556,6557,קופת חולים כללית,בית ספר א,131
6555,6556,נחף דואר,קופת חולים כללית,131
41123,48984,עלי בן אבי טאלב/כניסה מערבית,אל מועלקה,131
6557,44443,בית ספר א,המחצבה,131
44443,39705,המחצבה,מסגד אלרחמן 2,131
41122,48986,עלי בן אבי טאלב,אל מועלקה,131
39705,39709,מסגד אלרחמן 2,פארק 2,131
6518,6517,נחף מסגד,נחף מרכז,130
18177,18864,מסעף נחף,מועצה מקומית,130
39704,39703,מסגד אלרחמן 1,המחצבה/תחילת המגרשים,130
