stop_id,stop_name,topological_rank,demand_weighted_rank,rank_shift
7354,מעזריטש/חיי יצחק,318.0,409.0,-91.0
10073,מכללה לבנות ירושלים/דובדבני,3495.0,410.0,3085.0
41048,תחנת רכבת עפולה/יואש דובנוב,1202.0,411.0,791.0
13256,בניין פנורמה/דרך בן צבי,3709.0,412.0,3297.0
8693,דרוק/קהילות יעקב,1993.0,413.0,1580.0
13220,אקספו תל אביב/שד' רוקח,1227.0,414.0,813.0
13341,הרב כהנמן/קוקה קולה,1591.0,415.0,1176.0
8415,תלמוד תורה/דרך קדם,210.0,416.0,-206.0
14347,ת.רק''ל אהרונוביץ'/דרך ז'בוטינסקי,3306.0,417.0,2889.0
13561,דיזנגוף סנטר/דיזנגוף,4625.0,418.0,4207.0
15834,צומת סירקין/כביש 40,402.0,419.0,-17.0
8146,קרית ארבע/60,1188.0,420.0,768.0
10025,ינובסקי/ביתר,1800.0,421.0,1379.0
12247,יהודה/תחנה מרכזית,344.0,422.0,-78.0
10097,ממילא/קריב,2312.0,423.0,1889.0
43372,אלטלנה,865.0,424.0,441.0
7353,מעזריטש/הר''ן,323.0,425.0,-102.0
34650,צומת אריאל,126.0,426.0,-300.0
27792,צומת אשקלון,303.0,427.0,-124.0
5710,משטרה/שמעון דהאן,100.0,428.0,-328.0
23400,צומת שוהם,550.0,429.0,121.0
28865,שדרות דוד חכם/תחנה מרכזית,268.0,430.0,-162.0
18441,נוף הגליל/יציאה,106.0,431.0,-325.0
43905,מצודת אדומים,765.0,432.0,333.0
2803,קניון חיפה/פלימן,778.0,433.0,345.0
42872,ת. רכבת תל אביב- סבידור/רציפים A,1152.0,434.0,718.0
27864,צומת הגדי לדרום,414.0,435.0,-21.0
11289,הראל/יסמין,398.0,436.0,-38.0
5498,תחנה מרכזית ראש פינה,63.0,437.0,-374.0
2739,בן גוריון/ורד,2031.0,438.0,1593.0
12838,אלוף שדה/הירדן,1826.0,439.0,1387.0
28881,שדרות הרצל/החיד''א,384.0,440.0,-56.0
7384,מרכז מסחרי לב ביתר/המגיד ממעזריטש,1554.0,441.0,1113.0
10818,צומת האלה,539.0,442.0,97.0
29371,מכללת לוינסקי/דרך נמיר,1391.0,443.0,948.0
2740,בן גוריון/דקר,491.0,444.0,47.0
26648,צומת אלי כהן/שדרות דוד טוביהו,3398.0,445.0,2953.0
24046,קק''ל/רהב,392.0,446.0,-54.0
